mese;giorno;ora UTC*;Pioggia mm;Temp. gradi C;Umidita' %;Vento med km/h;Direzione Vento gradi N;Vento max km/h;Direzione Vento max gradi N;Radiaz. KJ/m2;Pressione hPa;Bagnatura Fogliare min.
12;31;24.00;0.0;8.9;80;5;334;-;-;0;1036.4;-
1;1;1.00;0.0;9.0;81;3;289;-;-;2;1036.0;-
1;1;2.00;0.0;8.8;82;4;307;-;-;0;1035.4;-
1;1;3.00;0.0;8.8;83;6;315;-;-;0;1034.5;-
1;1;4.00;0.0;8.8;84;7;318;-;-;0;1033.9;-
1;1;5.00;0.0;8.9;83;6;318;-;-;0;1033.1;-
1;1;6.00;0.0;8.9;85;4;358;-;-;0;1032.3;-
1;1;7.00;0.0;9.0;86;2;266;-;-;0;1031.6;-
1;1;8.00;0.0;9.0;87;5;319;-;-;0;1030.8;-
1;1;9.00;0.2;8.8;90;7;303;-;-;7;1030.5;-
1;1;10.00;0.8;8.5;92;5;343;-;-;38;1029.7;-
1;1;11.00;0.2;7.8;92;10;322;-;-;24;1028.7;-
1;1;12.00;0.4;7.9;92;9;325;-;-;26;1027.7;-
1;1;13.00;0.4;8.1;93;4;343;-;-;33;1026.2;-
1;1;14.00;0.0;8.1;93;2;245;-;-;28;1024.9;-
1;1;15.00;0.2;8.3;93;5;20;-;-;5;1023.9;-
1;1;16.00;0.2;8.7;94;5;340;-;-;0;1023.9;-
1;1;17.00;1.6;8.9;94;4;118;-;-;0;1023.3;-
1;1;18.00;1.6;9.1;95;3;301;-;-;0;1022.3;-
1;1;19.00;3.2;8.6;95;8;298;-;-;2;1022.3;-
1;1;20.00;0.8;8.7;95;9;109;-;-;1;1021.3;-
1;1;21.00;0.0;9.5;94;8;309;-;-;0;1022.1;-
1;1;22.00;0.0;9.6;92;4;219;-;-;0;1021.6;-
1;1;23.00;0.2;9.5;88;10;235;-;-;0;1020.8;-
1;1;24.00;0.0;9.5;87;5;121;-;-;0;1019.8;-
1;2;1.00;0.0;9.4;88;3;299;-;-;0;1018.9;-
1;2;2.00;0.0;9.4;87;4;326;-;-;0;1017.2;-
1;2;3.00;0.0;9.1;89;4;132;-;-;0;1014.8;-
1;2;4.00;0.0;9.2;90;7;158;-;-;0;1013.3;-
1;2;5.00;1.2;10.9;84;13;132;-;-;0;1012.8;-
1;2;6.00;6.2;8.7;82;13;57;-;-;0;1014.0;-
1;2;7.00;7.2;7.7;79;43;63;-;-;0;1014.7;-
1;2;8.00;3.2;7.6;72;51;62;-;-;1;1015.6;-
1;2;9.00;0.0;8.2;64;35;89;-;-;21;1015.5;-
1;2;10.00;0.0;8.4;63;34;29;-;-;183;1016.0;-
1;2;11.00;0.0;8.9;61;40;58;-;-;391;1016.1;-
1;2;12.00;0.0;9.4;60;21;54;-;-;463;1016.1;-
1;2;13.00;0.0;9.6;58;20;15;-;-;400;1016.3;-
1;2;14.00;0.0;9.5;64;19;318;-;-;260;1016.8;-
1;2;15.00;0.0;9.0;75;19;305;-;-;85;1017.6;-
1;2;16.00;0.0;8.8;72;17;333;-;-;2;1018.4;-
1;2;17.00;0.0;8.7;71;8;18;-;-;0;1019.2;-
1;2;18.00;0.0;8.8;70;3;280;-;-;0;1019.6;-
1;2;19.00;0.0;8.2;73;3;110;-;-;0;1019.8;-
1;2;20.00;0.0;7.9;73;5;96;-;-;0;1020.1;-
1;2;21.00;0.0;7.7;73;6;90;-;-;0;1020.5;-
1;2;22.00;0.0;7.7;74;4;92;-;-;0;1020.7;-
1;2;23.00;0.0;7.4;76;3;157;-;-;0;1020.8;-
1;2;24.00;0.0;7.4;78;3;78;-;-;0;1021.3;-
1;3;1.00;0.0;7.0;66;4;74;-;-;0;1022.3;-
1;3;2.00;0.0;6.5;63;4;94;-;-;0;1022.8;-
1;3;3.00;0.0;6.5;66;2;94;-;-;0;1023.1;-
1;3;4.00;0.0;7.1;65;3;308;-;-;0;1023.5;-
1;3;5.00;0.0;6.9;59;6;70;-;-;0;1024.5;-
1;3;6.00;0.0;6.3;58;7;141;-;-;0;1025.2;-
1;3;7.00;0.0;6.0;59;5;113;-;-;3;1026.3;-
1;3;8.00;0.0;6.7;61;3;113;-;-;262;1026.0;-
1;3;9.00;0.0;7.9;58;2;108;-;-;685;1027.1;-
1;3;10.00;0.0;10.1;41;5;140;-;-;1000;1027.4;-
1;3;11.00;0.0;11.7;37;5;138;-;-;1190;1026.9;-
1;3;12.00;0.0;10.8;43;4;326;-;-;1158;1026.5;-
1;3;13.00;0.0;10.9;48;8;2;-;-;1002;1026.5;-
1;3;14.00;0.0;10.9;51;4;350;-;-;663;1026.9;-
1;3;15.00;0.0;10.9;59;5;338;-;-;293;1027.4;-
1;3;16.00;0.0;10.3;64;5;97;-;-;22;1027.7;-
1;3;17.00;0.0;9.1;68;6;96;-;-;0;1027.7;-
1;3;18.00;0.0;7.8;73;4;170;-;-;0;1028.2;-
1;3;19.00;0.0;7.5;72;6;134;-;-;0;1028.9;-
1;3;20.00;0.0;7.7;71;7;76;-;-;0;1029.1;-
1;3;21.00;0.0;7.6;69;8;96;-;-;0;1028.9;-
1;3;22.00;0.0;7.2;66;4;110;-;-;0;1028.9;-
1;3;23.00;0.0;7.2;60;4;151;-;-;0;1028.4;-
1;3;24.00;0.0;8.2;51;6;92;-;-;0;1027.8;-
1;4;1.00;0.0;8.6;52;5;54;-;-;0;1028.1;-
1;4;2.00;0.0;8.1;53;5;129;-;-;1;1027.7;-
1;4;3.00;0.0;8.2;50;4;101;-;-;0;1027.2;-
1;4;4.00;0.0;9.1;44;9;107;-;-;0;1026.2;-
1;4;5.00;0.0;9.5;43;8;112;-;-;1;1025.5;-
1;4;6.00;0.0;9.4;50;10;104;-;-;1;1025.1;-
1;4;7.00;0.0;9.2;59;8;104;-;-;2;1024.5;-
1;4;8.00;0.0;9.7;61;9;140;-;-;113;1024.3;-
1;4;9.00;0.0;9.9;60;10;134;-;-;401;1024.0;-
1;4;10.00;0.0;10.2;60;10;129;-;-;403;1023.5;-
1;4;11.00;0.0;10.6;60;8;141;-;-;241;1022.8;-
1;4;12.00;0.0;10.7;59;9;125;-;-;243;1021.4;-
1;4;13.00;0.0;10.8;58;13;144;-;-;189;1020.8;-
1;4;14.00;0.0;10.6;59;13;146;-;-;140;1020.6;-
1;4;15.00;0.0;10.6;59;10;143;-;-;55;1020.1;-
1;4;16.00;0.0;10.1;60;19;145;-;-;3;1019.6;-
1;4;17.00;0.0;9.4;62;13;141;-;-;0;1019.8;-
1;4;18.00;0.0;9.2;63;12;129;-;-;0;1019.7;-
1;4;19.00;0.0;9.5;61;13;154;-;-;0;1019.4;-
1;4;20.00;0.0;9.4;61;4;108;-;-;0;1019.2;-
1;4;21.00;0.0;9.1;65;13;131;-;-;0;1019.0;-
1;4;22.00;0.0;9.4;67;12;111;-;-;0;1018.9;-
1;4;23.00;0.0;10.0;67;8;69;-;-;0;1018.9;-
1;4;24.00;0.0;9.8;66;5;101;-;-;0;1018.9;-
1;5;1.00;0.0;9.9;66;7;102;-;-;0;1018.6;-
1;5;2.00;0.0;10.2;66;9;102;-;-;0;1018.7;-
1;5;3.00;0.0;10.0;67;8;89;-;-;0;1018.7;-
1;5;4.00;0.0;10.0;67;7;137;-;-;0;1019.1;-
1;5;5.00;0.0;9.8;69;3;96;-;-;0;1019.4;-
1;5;6.00;0.0;9.5;71;4;62;-;-;0;1020.1;-
1;5;7.00;0.0;9.1;72;4;115;-;-;5;1020.6;-
1;5;8.00;0.0;9.6;69;4;99;-;-;249;1020.6;-
1;5;9.00;0.0;9.6;68;4;155;-;-;558;1021.7;-
1;5;10.00;0.0;10.5;69;3;53;-;-;486;1022.6;-
1;5;11.00;0.0;10.5;70;3;5;-;-;717;1022.3;-
1;5;12.00;0.0;10.7;70;5;294;-;-;956;1022.2;-
1;5;13.00;0.0;10.4;72;9;280;-;-;939;1022.5;-
1;5;14.00;0.0;10.7;72;5;29;-;-;352;1023.1;-
